DIM,PROCS,REP,TIME,STATUS
500,33,9,0.206945,0
500,34,10,0.274544,0
500,34,1,0.246103,0
500,34,2,0.230760,0
500,34,3,0.247586,0
500,34,4,0.245229,0
500,34,5,0.252490,0
500,34,6,0.261781,0
500,34,7,0.233851,0
500,34,8,0.268532,0
500,34,9,0.253530,0
500,35,10,0.266840,0
500,35,1,0.336004,0
500,35,2,0.250731,0
500,35,3,0.424616,0
500,35,4,0.325698,0
500,35,5,0.273581,0
500,35,6,0.285155,0
500,35,7,0.281265,0
500,35,8,0.355168,0
500,35,9,0.316003,0
500,36,10,0.141323,0
500,36,1,0.141714,0
500,36,2,0.140923,0
500,36,3,0.140450,0
500,36,4,0.143151,0
500,36,5,0.144050,0
500,36,6,0.143499,0
500,36,7,0.143500,0
500,36,8,0.247208,0
500,36,9,0.143163,0
500,37,10,0.121260,0
500,37,1,0.121269,0
500,37,2,0.121215,0
500,37,3,0.120416,0
500,37,4,0.120920,0
500,37,5,0.120496,0
500,37,6,0.121047,0
500,37,7,0.121146,0
500,37,8,0.121400,0
500,37,9,0.120827,0
500,38,10,0.196869,0
500,38,1,0.232101,0
500,38,2,0.243483,0
500,38,3,0.228166,0
500,38,4,0.231461,0
500,38,5,0.224646,0
500,38,6,0.213928,0
500,38,7,0.221442,0
500,38,8,0.262040,0
500,38,9,0.231509,0
500,39,10,0.127528,0
500,39,1,0.123206,0
500,39,2,0.125728,0
500,39,3,0.123589,0
500,39,4,0.123467,0
500,39,5,0.122846,0
500,39,6,0.124117,0
500,39,7,0.125657,0
500,39,8,0.124100,0
500,39,9,0.126565,0
500,40,10,0.104762,0
500,40,1,0.128765,0
500,40,2,0.129289,0
500,40,3,0.121436,0
500,40,4,0.121063,0
500,40,5,0.123979,0
500,40,6,0.120796,0
500,40,7,0.102069,0
500,40,8,0.102871,0
500,40,9,0.102039,0
500,41,10,0.117196,0
500,41,1,0.127708,0
500,41,2,0.125433,0
500,41,3,0.124316,0
500,41,4,0.109022,0
500,41,5,0.112635,0
500,41,6,0.112689,0
500,41,7,0.112592,0
500,41,8,0.113240,0
500,41,9,0.115422,0
500,42,10,0.179125,0
500,42,1,0.230427,0
500,42,2,0.251922,0
500,42,3,0.252039,0
500,42,4,0.262431,0
500,42,5,0.242998,0
500,42,6,0.276219,0
500,42,7,0.256849,0
500,42,8,0.255618,0
500,42,9,0.258363,0
500,43,10,0.284277,0
500,43,1,0.264672,0
500,43,2,0.280029,0
500,43,3,0.259201,0
500,43,4,0.256979,0
500,43,5,0.264736,0
500,43,6,0.268908,0
500,43,7,0.273443,0
500,43,8,0.256158,0
500,43,9,0.271149,0
500,44,10,0.118014,0
500,44,1,0.117173,0
500,44,2,0.117563,0
500,44,3,0.116241,0
500,44,4,0.117402,0
500,44,5,0.116938,0
500,44,6,0.117189,0
500,44,7,0.116857,0
500,44,8,0.118393,0
500,44,9,0.117822,0
500,45,10,0.116251,0
500,45,1,0.116537,0
500,45,2,0.118230,0
500,45,3,0.116378,0
500,45,4,0.116320,0
500,45,5,0.117082,0
500,45,6,0.115115,0
500,45,7,0.115449,0
500,45,8,0.119165,0
500,45,9,0.116263,0
500,46,10,0.196369,0
500,46,1,0.194233,0
500,46,2,0.201998,0
500,46,3,0.200818,0
500,46,4,0.204658,0
500,46,5,0.171806,0
500,46,6,0.168480,0
500,46,7,0.172799,0
500,46,8,0.195371,0
500,46,9,0.175114,0
500,47,10,0.127232,0
500,47,1,0.133540,0
500,47,2,0.133948,0
500,47,3,0.133825,0
500,47,4,0.105384,0
500,47,5,0.126756,0
500,47,6,0.126727,0
500,47,7,0.127405,0
500,47,8,0.127494,0
500,47,9,0.128384,0
500,48,10,0.112087,0
500,48,1,0.110380,0
500,48,2,0.111486,0
500,48,3,0.113978,0
500,48,4,0.110873,0
500,48,5,0.113028,0
500,48,6,0.115056,0
500,48,7,0.112106,0
500,48,8,0.110590,0
500,48,9,0.111725,0
500,49,10,0.095046,0
500,49,1,0.111758,0
500,49,2,0.111697,0
500,49,3,0.112815,0
500,49,4,0.111669,0
500,49,5,0.111817,0
500,49,6,0.109690,0
500,49,7,0.109355,0
500,49,8,0.096582,0
500,49,9,0.095033,0
500,50,10,0.136864,0
500,50,1,0.226270,0
500,50,2,0.230438,0
500,50,3,0.184514,0
500,50,4,0.204871,0
500,50,5,0.194135,0
500,50,6,0.206020,0
500,50,7,0.193117,0
500,50,8,0.162841,0
500,50,9,0.158918,0
500,51,10,0.223932,0
500,51,1,0.219352,0
500,51,2,0.215329,0
500,51,3,0.192483,0
500,51,4,0.208723,0
500,51,5,0.175072,0
500,51,6,0.190943,0
500,51,7,0.166609,0
500,51,8,0.230242,0
500,51,9,0.206684,0
500,52,10,0.184279,0
500,52,1,0.221966,0
500,52,2,0.221006,0
500,52,3,0.217695,0
500,52,4,0.214425,0
500,52,5,0.232352,0
500,52,6,0.186917,0
500,52,7,0.232511,0
500,52,8,0.221668,0
500,52,9,0.220718,0
500,53,10,0.153368,0
500,53,1,0.197360,0
500,53,2,0.183690,0
500,53,3,0.203423,0
500,53,4,0.187249,0
500,53,5,0.200146,0
